t,t+1
-0.328966154346982,-0.287993704945062
-0.287993704945062,-0.25552929335502
-0.25552929335502,-0.230612636788071
-0.230612636788071,-0.212375055522547
-0.212375055522547,-0.200061690323715
-0.200061690323715,-0.193041435937114
-0.193041435937114,-0.190809130957683
-0.190809130957683,-0.192983259013905
-0.192983259013905,-0.199301477544533
-0.199301477544533,-0.20961562291399
-0.20961562291399,-0.223887383387638
-0.223887383387638,-0.242185540315215
-0.242185540315215,-0.264685522269942
-0.264685522269942,-0.291671975820987
-0.291671975820987,-0.3235451123187
-0.3235451123187,-0.360831717331492
-0.360831717331492,-0.404201854179348
-0.404201854179348,-0.454492328698958
-0.454492328698958,-0.512737620309258
-0.512737620309258,-0.580207596351774
-0.580207596351774,-0.65844760403245
-0.65844760403245,-0.749307874369034
-0.749307874369034,-0.854930701703881
-0.854930701703881,-0.977627335646446
-0.977627335646446,-1.11951079386066
-1.11951079386066,-1.28165023201039
-1.28165023201039,-1.46241061275122
-1.46241061275122,-1.65469856217437
-1.65469856217437,-1.84246141673386
-1.84246141673386,-1.99849194895561
-1.99849194895561,-2.08776418778598
-2.08776418778598,-2.07948843153703
-2.07948843153703,-1.9630227212248
-1.9630227212248,-1.75467010145735
-1.75467010145735,-1.48866671995436
-1.48866671995436,-1.201076525985
-1.201076525985,-0.918879939736869
-0.918879939736869,-0.657543419579902
-0.657543419579902,-0.423449112258613
-0.423449112258613,-0.217317168533924
-0.217317168533924,-0.036890526007736
-0.036890526007736,0.121376878656141
0.121376878656141,0.261380199886169
0.261380199886169,0.386882688814917
0.386882688814917,0.501286941967993
0.501286941967993,0.607532291710035
0.607532291710035,0.708045533475386
0.708045533475386,0.804702930299513
0.804702930299513,0.898778718308997
0.898778718308997,0.990866728417339
0.990866728417339,1.08077318381306
1.08077318381306,1.16739506283819
1.16739506283819,1.24862249919683
