t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,t+1
-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374
-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528
-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528,0.590571635634971
-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528,0.590571635634971,0.618697715151798
-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528,0.590571635634971,0.618697715151798,0.647794381069638
-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528,0.590571635634971,0.618697715151798,0.647794381069638,0.678055052493719
-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528,0.590571635634971,0.618697715151798,0.647794381069638,0.678055052493719,0.709646487033645
0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528,0.590571635634971,0.618697715151798,0.647794381069638,0.678055052493719,0.709646487033645,0.742708179450396
0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528,0.590571635634971,0.618697715151798,0.647794381069638,0.678055052493719,0.709646487033645,0.742708179450396,0.777350931692219
0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528,0.590571635634971,0.618697715151798,0.647794381069638,0.678055052493719,0.709646487033645,0.742708179450396,0.777350931692219,0.813654545080004
0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528,0.590571635634971,0.618697715151798,0.647794381069638,0.678055052493719,0.709646487033645,0.742708179450396,0.777350931692219,0.813654545080004,0.851664605099129
0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528,0.590571635634971,0.618697715151798,0.647794381069638,0.678055052493719,0.709646487033645,0.742708179450396,0.777350931692219,0.813654545080004,0.851664605099129,0.891388358284921
0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528,0.590571635634971,0.618697715151798,0.647794381069638,0.678055052493719,0.709646487033645,0.742708179450396,0.777350931692219,0.813654545080004,0.851664605099129,0.891388358284921,0.932789722640127
0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034,0.536322573126374,0.563195897529528,0.590571635634971,0.618697715151798,0.647794381069638,0.678055052493719,0.709646487033645,0.742708179450396,0.777350931692219,0.813654545080004,0.851664605099129,0.891388358284921,0.932789722640127,0.975783531563726
